============================================================
MAT Pseudo-Grid LWM (Method 2: 8×16) — Pre-training
============================================================
Log file    : mask_aware_tf/mat_pseudo_lwm_weights.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1']
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Mask ratio  : 0.15
Save path   : mask_aware_tf/mat_pseudo_lwm_weights.pth
------------------------------------------------------------
Dataset — train: 898605, val: 224651, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
  step  5550/14041 | loss 34.1619 | data 0.0 ms | step 4.5 ms | 14161.0 samples/s
  step  5600/14041 | loss 33.9172 | data 0.1 ms | step 4.6 ms | 13879.7 samples/s
  step  5650/14041 | loss 34.3813 | data 0.1 ms | step 4.5 ms | 14214.6 samples/s
  step  5700/14041 | loss 36.4554 | data 0.1 ms | step 4.5 ms | 14292.4 samples/s
  step  5750/14041 | loss 34.1281 | data 0.0 ms | step 4.5 ms | 14248.6 samples/s
  step  5800/14041 | loss 37.2350 | data 0.1 ms | step 4.5 ms | 14148.2 samples/s
  step  5850/14041 | loss 35.5760 | data 0.1 ms | step 4.0 ms | 15825.5 samples/s
  step  5900/14041 | loss 32.7650 | data 0.1 ms | step 3.9 ms | 16220.0 samples/s
  step  5950/14041 | loss 36.0952 | data 0.1 ms | step 3.9 ms | 16415.6 samples/s
  step  6000/14041 | loss 37.0873 | data 0.0 ms | step 3.9 ms | 16562.9 samples/s
  step  6050/14041 | loss 40.0849 | data 0.1 ms | step 4.0 ms | 15951.0 samples/s
  step  6100/14041 | loss 38.9638 | data 0.1 ms | step 3.9 ms | 16337.0 samples/s
  step  6150/14041 | loss 34.8175 | data 0.0 ms | step 3.8 ms | 16644.6 samples/s
  step  6200/14041 | loss 38.5656 | data 0.0 ms | step 3.8 ms | 16755.4 samples/s
  step  6250/14041 | loss 38.7204 | data 0.0 ms | step 3.7 ms | 17216.5 samples/s
  step  6300/14041 | loss 34.3949 | data 0.0 ms | step 3.8 ms | 16953.0 samples/s
  step  6350/14041 | loss 36.7225 | data 0.1 ms | step 4.2 ms | 15091.1 samples/s
  step  6400/14041 | loss 36.8451 | data 0.1 ms | step 4.3 ms | 14810.0 samples/s
  step  6450/14041 | loss 35.1977 | data 0.1 ms | step 4.5 ms | 14185.0 samples/s
  step  6500/14041 | loss 38.3614 | data 0.1 ms | step 4.4 ms | 14621.8 samples/s
  step  6550/14041 | loss 32.6609 | data 0.1 ms | step 4.2 ms | 15315.0 samples/s
  step  6600/14041 | loss 34.6560 | data 0.0 ms | step 4.5 ms | 14360.1 samples/s
  step  6650/14041 | loss 33.2278 | data 0.1 ms | step 4.5 ms | 14170.4 samples/s
  step  6700/14041 | loss 29.2617 | data 0.0 ms | step 4.5 ms | 14375.8 samples/s
  step  6750/14041 | loss 34.6890 | data 0.0 ms | step 4.0 ms | 16170.3 samples/s
  step  6800/14041 | loss 30.4619 | data 0.1 ms | step 4.4 ms | 14495.3 samples/s
  step  6850/14041 | loss 33.6757 | data 0.1 ms | step 4.5 ms | 14133.3 samples/s
  step  6900/14041 | loss 35.4415 | data 0.0 ms | step 4.5 ms | 14164.8 samples/s
  step  6950/14041 | loss 32.4612 | data 0.0 ms | step 4.5 ms | 14236.4 samples/s
  step  7000/14041 | loss 31.4980 | data 0.1 ms | step 4.0 ms | 16186.5 samples/s
  step  7050/14041 | loss 32.8645 | data 0.0 ms | step 3.1 ms | 20701.9 samples/s
  step  7100/14041 | loss 32.5458 | data 0.0 ms | step 3.1 ms | 20662.3 samples/s
  step  7150/14041 | loss 28.6700 | data 0.0 ms | step 3.0 ms | 21031.2 samples/s
