============================================================
MAT-ViT-LWM (Method 1: 32×32 ViT) — Pre-training
============================================================
Log file    : mask_aware_tf/mat_vit_lwm_weights.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1']
Num workers : 8 | Pin memory: True
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Scheduler per batch: False
Seed        : 0
SNR (dB)    : None
Mask ratio  : 0.15
Save path   : mask_aware_tf/mat_vit_lwm_weights.pth
------------------------------------------------------------
Dataset sizes — train: 898605, val: 224651, test: 1
Batches per epoch — train: 14041, val: 3511, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
Batch Size   : 64
  step  6350/14041 | loss 1.0142 | data 0.1 ms | step 24.4 ms | 2623.5 samples/s
  step  6400/14041 | loss 1.1975 | data 0.1 ms | step 25.7 ms | 2489.3 samples/s
  step  6450/14041 | loss 1.1957 | data 0.1 ms | step 23.7 ms | 2697.8 samples/s
  step  6500/14041 | loss 1.3681 | data 0.1 ms | step 25.3 ms | 2525.8 samples/s
  step  6550/14041 | loss 1.2594 | data 0.1 ms | step 23.9 ms | 2675.3 samples/s
  step  6600/14041 | loss 1.0903 | data 0.1 ms | step 23.9 ms | 2677.3 samples/s
  step  6650/14041 | loss 1.1393 | data 0.1 ms | step 24.1 ms | 2658.1 samples/s
  step  6700/14041 | loss 1.1562 | data 0.1 ms | step 25.2 ms | 2539.2 samples/s
  step  6750/14041 | loss 0.9496 | data 0.1 ms | step 26.3 ms | 2428.9 samples/s
  step  6800/14041 | loss 1.2674 | data 0.1 ms | step 28.1 ms | 2274.1 samples/s
  step  6850/14041 | loss 1.0859 | data 0.1 ms | step 26.6 ms | 2409.1 samples/s
  step  6900/14041 | loss 0.9233 | data 0.1 ms | step 24.9 ms | 2566.2 samples/s
  step  6950/14041 | loss 0.9808 | data 0.1 ms | step 23.9 ms | 2682.7 samples/s
  step  7000/14041 | loss 0.9838 | data 0.1 ms | step 26.3 ms | 2428.9 samples/s
  step  7050/14041 | loss 1.6505 | data 0.1 ms | step 26.4 ms | 2421.3 samples/s
  step  7100/14041 | loss 1.9015 | data 0.1 ms | step 26.6 ms | 2404.0 samples/s
  step  7150/14041 | loss 1.4502 | data 0.1 ms | step 26.4 ms | 2428.4 samples/s
  step  7200/14041 | loss 1.2805 | data 0.1 ms | step 25.3 ms | 2525.6 samples/s
  step  7250/14041 | loss 1.2954 | data 0.1 ms | step 23.5 ms | 2722.2 samples/s
  step  7300/14041 | loss 1.0478 | data 0.1 ms | step 24.3 ms | 2633.3 samples/s
  step  7350/14041 | loss 1.1423 | data 0.1 ms | step 26.2 ms | 2441.6 samples/s
  step  7400/14041 | loss 1.0509 | data 0.1 ms | step 25.6 ms | 2496.7 samples/s
  step  7450/14041 | loss 1.0983 | data 0.1 ms | step 23.9 ms | 2673.2 samples/s
  step  7500/14041 | loss 1.4018 | data 0.1 ms | step 25.1 ms | 2544.8 samples/s
  step  7550/14041 | loss 1.2347 | data 0.1 ms | step 24.7 ms | 2587.2 samples/s
  step  7600/14041 | loss 1.0843 | data 0.1 ms | step 25.4 ms | 2523.1 samples/s
  step  7650/14041 | loss 1.1356 | data 0.1 ms | step 28.1 ms | 2280.0 samples/s
  step  7700/14041 | loss 1.0920 | data 0.1 ms | step 28.0 ms | 2282.3 samples/s
  step  7750/14041 | loss 1.2199 | data 0.1 ms | step 28.0 ms | 2285.0 samples/s
  step  7800/14041 | loss 1.0274 | data 0.1 ms | step 25.5 ms | 2510.3 samples/s
  step  7850/14041 | loss 0.9753 | data 0.1 ms | step 25.1 ms | 2552.6 samples/s
  step  7900/14041 | loss 0.9992 | data 0.1 ms | step 24.1 ms | 2656.1 samples/s
  step  7950/14041 | loss 0.8891 | data 0.1 ms | step 23.8 ms | 2687.0 samples/s
  step  8000/14041 | loss 0.8667 | data 0.1 ms | step 24.1 ms | 2659.7 samples/s
  step  8050/14041 | loss 0.8862 | data 0.1 ms | step 23.8 ms | 2688.5 samples/s
  step  8100/14041 | loss 0.9791 | data 0.1 ms | step 26.9 ms | 2380.7 samples/s
  step  8150/14041 | loss 0.9043 | data 0.1 ms | step 27.9 ms | 2297.6 samples/s
  step  8200/14041 | loss 0.8115 | data 0.1 ms | step 25.2 ms | 2536.4 samples/s
  step  8250/14041 | loss 0.7982 | data 0.1 ms | step 26.9 ms | 2377.4 samples/s
  step  8300/14041 | loss 1.0478 | data 0.1 ms | step 25.6 ms | 2496.1 samples/s
  step  8350/14041 | loss 1.0542 | data 0.1 ms | step 26.0 ms | 2465.0 samples/s
  step  8400/14041 | loss 1.1718 | data 0.1 ms | step 28.8 ms | 2222.2 samples/s
  step  8450/14041 | loss 1.0248 | data 0.1 ms | step 26.0 ms | 2462.4 samples/s
  step  8500/14041 | loss 1.0093 | data 0.1 ms | step 24.5 ms | 2613.2 samples/s
  step  8550/14041 | loss 1.0076 | data 0.1 ms | step 24.1 ms | 2656.0 samples/s
  step  8600/14041 | loss 0.8371 | data 0.1 ms | step 24.3 ms | 2630.9 samples/s
  step  8650/14041 | loss 0.8690 | data 0.1 ms | step 24.2 ms | 2648.3 samples/s
  step  8700/14041 | loss 1.1874 | data 0.1 ms | step 24.0 ms | 2663.0 samples/s
  step  8750/14041 | loss 0.9016 | data 0.1 ms | step 24.2 ms | 2648.9 samples/s
  step  8800/14041 | loss 0.9119 | data 0.1 ms | step 23.7 ms | 2701.3 samples/s
  step  8850/14041 | loss 1.2901 | data 0.1 ms | step 23.5 ms | 2720.2 samples/s
  step  8900/14041 | loss 1.1707 | data 0.1 ms | step 24.6 ms | 2599.4 samples/s
  step  8950/14041 | loss 1.2103 | data 0.1 ms | step 25.5 ms | 2507.6 samples/s
  step  9000/14041 | loss 1.1355 | data 0.1 ms | step 27.2 ms | 2351.8 samples/s
  step  9050/14041 | loss 0.9263 | data 0.1 ms | step 25.9 ms | 2471.2 samples/s
  step  9100/14041 | loss 0.9742 | data 0.1 ms | step 24.2 ms | 2647.4 samples/s
  step  9150/14041 | loss 1.0695 | data 0.1 ms | step 24.4 ms | 2620.5 samples/s
  step  9200/14041 | loss 1.1138 | data 0.1 ms | step 25.8 ms | 2484.5 samples/s
  step  9250/14041 | loss 0.9908 | data 0.1 ms | step 24.4 ms | 2618.8 samples/s
