Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
  step  1150/1558 | loss 0.2034 | data 0.1 ms | step 69.6 ms | 7352.3 samples/s
  step  1200/1558 | loss 0.2091 | data 0.1 ms | step 71.7 ms | 7137.5 samples/s
  step  1250/1558 | loss 0.1966 | data 0.1 ms | step 72.9 ms | 7027.1 samples/s
  step  1300/1558 | loss 0.2068 | data 0.1 ms | step 74.3 ms | 6889.9 samples/s
  step  1350/1558 | loss 0.1964 | data 0.1 ms | step 74.3 ms | 6894.6 samples/s
  step  1400/1558 | loss 0.2003 | data 0.1 ms | step 73.8 ms | 6938.0 samples/s
  step  1450/1558 | loss 0.2025 | data 0.1 ms | step 74.2 ms | 6899.9 samples/s
  step  1500/1558 | loss 0.2006 | data 0.1 ms | step 74.1 ms | 6914.1 samples/s
  step  1550/1558 | loss 0.1893 | data 0.2 ms | step 73.9 ms | 6931.2 samples/s
Train Loss: 0.2120
Epoch 8
  step    50/1558 | loss 0.1904 | data 6.1 ms | step 69.9 ms | 7321.5 samples/s
  step   100/1558 | loss 0.1933 | data 0.1 ms | step 71.6 ms | 7155.3 samples/s
  step   150/1558 | loss 0.1900 | data 0.1 ms | step 74.0 ms | 6914.3 samples/s
  step   200/1558 | loss 0.1899 | data 0.1 ms | step 74.0 ms | 6923.0 samples/s
  step   250/1558 | loss 0.1862 | data 0.1 ms | step 73.8 ms | 6933.5 samples/s
  step   300/1558 | loss 0.1893 | data 0.1 ms | step 73.4 ms | 6974.2 samples/s
  step   350/1558 | loss 0.1821 | data 0.1 ms | step 73.9 ms | 6930.6 samples/s
