============================================================
LWM v1.1 + Coordinate Attention — Pretraining
============================================================
Log file    : lwm1_1_ca/model1_1_weights_ca_e2e.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1', 'city_0_newyork', 'city_1_losangeles', 'city_2_chicago', 'city_3_houston', 'city_4_phoenix', 'city_5_philadelphia', 'city_6_miami', 'city_8_dallas', 'city_9_sanfrancisco', 'city_10_austin', 'city_13_columbus', 'city_17_seattle']
Num workers : 8 | Pin memory: True
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Scheduler per batch: False
Seed        : 0
SNR (dB)    : None
Save path   : lwm1_1_ca/model1_1_weights_ca_e2e.pth
------------------------------------------------------------
Dataset sizes — train: 913664, val: 228416, test: 1
Batches per epoch — train: 14276, val: 3569, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
Batch Size   : 64
  step  9300/14276 | loss 0.0186 | data 0.1 ms | step 27.0 ms | 2367.1 samples/s
  step  9350/14276 | loss 0.0220 | data 0.1 ms | step 30.5 ms | 2096.6 samples/s
  step  9400/14276 | loss 0.0194 | data 0.1 ms | step 28.8 ms | 2223.8 samples/s
  step  9450/14276 | loss 0.0236 | data 0.1 ms | step 25.8 ms | 2477.9 samples/s
  step  9500/14276 | loss 0.0265 | data 0.1 ms | step 27.8 ms | 2301.1 samples/s
  step  9550/14276 | loss 0.0244 | data 0.1 ms | step 27.6 ms | 2321.4 samples/s
  step  9600/14276 | loss 0.0213 | data 0.1 ms | step 28.2 ms | 2268.1 samples/s
  step  9650/14276 | loss 0.0228 | data 0.1 ms | step 27.2 ms | 2352.8 samples/s
  step  9700/14276 | loss 0.0209 | data 0.1 ms | step 20.3 ms | 3159.5 samples/s
  step  9750/14276 | loss 0.0199 | data 0.1 ms | step 19.8 ms | 3238.3 samples/s
  step  9800/14276 | loss 0.0188 | data 0.1 ms | step 19.3 ms | 3308.1 samples/s
  step  9850/14276 | loss 0.0179 | data 0.1 ms | step 19.2 ms | 3331.7 samples/s
  step  9900/14276 | loss 0.0183 | data 0.1 ms | step 19.6 ms | 3262.8 samples/s
  step  9950/14276 | loss 0.0183 | data 0.1 ms | step 20.1 ms | 3183.4 samples/s
  step 10000/14276 | loss 0.0184 | data 0.1 ms | step 22.8 ms | 2811.9 samples/s
  step 10050/14276 | loss 0.0169 | data 0.1 ms | step 24.9 ms | 2565.6 samples/s
  step 10100/14276 | loss 0.0176 | data 0.1 ms | step 24.8 ms | 2578.0 samples/s
  step 10150/14276 | loss 0.0182 | data 0.1 ms | step 25.1 ms | 2554.3 samples/s
  step 10200/14276 | loss 0.0183 | data 0.1 ms | step 25.1 ms | 2552.7 samples/s
  step 10250/14276 | loss 0.0185 | data 0.1 ms | step 25.2 ms | 2538.1 samples/s
  step 10300/14276 | loss 0.0172 | data 0.1 ms | step 28.7 ms | 2229.1 samples/s
  step 10350/14276 | loss 0.0162 | data 0.1 ms | step 24.8 ms | 2582.9 samples/s
  step 10400/14276 | loss 0.0170 | data 0.1 ms | step 20.1 ms | 3180.1 samples/s
  step 10450/14276 | loss 0.0160 | data 0.1 ms | step 18.9 ms | 3379.6 samples/s
  step 10500/14276 | loss 0.0168 | data 0.1 ms | step 20.9 ms | 3067.0 samples/s
  step 10550/14276 | loss 0.0159 | data 0.1 ms | step 21.5 ms | 2981.1 samples/s
  step 10600/14276 | loss 0.0168 | data 0.1 ms | step 21.5 ms | 2979.9 samples/s
  step 10650/14276 | loss 0.0167 | data 0.1 ms | step 21.1 ms | 3030.5 samples/s
  step 10700/14276 | loss 0.0173 | data 0.1 ms | step 25.3 ms | 2525.2 samples/s
  step 10750/14276 | loss 0.0162 | data 0.1 ms | step 28.4 ms | 2253.7 samples/s
  step 10800/14276 | loss 0.0163 | data 0.1 ms | step 27.8 ms | 2304.7 samples/s
  step 10850/14276 | loss 0.0172 | data 0.1 ms | step 27.2 ms | 2353.7 samples/s
  step 10900/14276 | loss 0.0162 | data 0.1 ms | step 24.5 ms | 2612.3 samples/s
  step 10950/14276 | loss 0.0162 | data 0.1 ms | step 20.5 ms | 3122.7 samples/s
  step 11000/14276 | loss 0.0171 | data 0.1 ms | step 21.2 ms | 3022.6 samples/s
  step 11050/14276 | loss 0.0173 | data 0.1 ms | step 30.1 ms | 2127.2 samples/s
  step 11100/14276 | loss 0.0168 | data 0.1 ms | step 30.3 ms | 2113.4 samples/s
  step 11150/14276 | loss 0.0173 | data 0.1 ms | step 29.9 ms | 2141.4 samples/s
  step 11200/14276 | loss 0.0165 | data 0.1 ms | step 29.6 ms | 2158.6 samples/s
  step 11250/14276 | loss 0.0158 | data 0.1 ms | step 26.0 ms | 2460.9 samples/s
  step 11300/14276 | loss 0.0162 | data 0.2 ms | step 27.5 ms | 2327.6 samples/s
  step 11350/14276 | loss 0.0160 | data 0.1 ms | step 28.2 ms | 2273.0 samples/s
  step 11400/14276 | loss 0.0148 | data 0.1 ms | step 29.3 ms | 2187.1 samples/s
  step 11450/14276 | loss 0.0148 | data 0.1 ms | step 28.7 ms | 2228.5 samples/s
  step 11500/14276 | loss 0.0166 | data 0.1 ms | step 29.9 ms | 2137.7 samples/s
  step 11550/14276 | loss 0.0160 | data 0.1 ms | step 24.2 ms | 2642.3 samples/s
  step 11600/14276 | loss 0.0158 | data 0.1 ms | step 20.8 ms | 3083.4 samples/s
  step 11650/14276 | loss 0.0157 | data 0.1 ms | step 21.2 ms | 3014.5 samples/s
  step 11700/14276 | loss 0.0162 | data 0.1 ms | step 22.1 ms | 2898.7 samples/s
  step 11750/14276 | loss 0.0156 | data 0.1 ms | step 20.6 ms | 3104.6 samples/s
  step 11800/14276 | loss 0.0154 | data 0.1 ms | step 20.9 ms | 3064.2 samples/s
  step 11850/14276 | loss 0.0193 | data 0.1 ms | step 24.3 ms | 2631.1 samples/s
  step 11900/14276 | loss 0.0174 | data 0.1 ms | step 24.5 ms | 2615.7 samples/s
  step 11950/14276 | loss 0.0155 | data 0.1 ms | step 22.9 ms | 2799.6 samples/s
  step 12000/14276 | loss 0.0154 | data 0.1 ms | step 26.2 ms | 2440.6 samples/s
  step 12050/14276 | loss 0.0228 | data 0.1 ms | step 25.7 ms | 2488.4 samples/s
  step 12100/14276 | loss 0.0176 | data 0.1 ms | step 26.9 ms | 2382.4 samples/s
  step 12150/14276 | loss 0.0173 | data 0.1 ms | step 29.6 ms | 2163.4 samples/s
  step 12200/14276 | loss 0.0159 | data 0.1 ms | step 28.8 ms | 2220.0 samples/s
  step 12250/14276 | loss 0.0145 | data 0.1 ms | step 28.4 ms | 2254.6 samples/s
  step 12300/14276 | loss 0.0152 | data 0.1 ms | step 28.4 ms | 2251.8 samples/s
  step 12350/14276 | loss 0.0155 | data 0.1 ms | step 29.1 ms | 2195.9 samples/s
  step 12400/14276 | loss 0.0146 | data 0.1 ms | step 29.2 ms | 2193.9 samples/s
  step 12450/14276 | loss 0.0156 | data 0.1 ms | step 30.0 ms | 2132.2 samples/s
