Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
  step 50/1558 | loss 1.0164 | 3538.5 samples/s
  step  1350/1558 | loss 0.1199 | data 0.1 ms | step 120.9 ms | 4234.2 samples/s
  step  1400/1558 | loss 0.1217 | data 0.1 ms | step 120.3 ms | 4256.1 samples/s
  step  1450/1558 | loss 0.1176 | data 0.1 ms | step 117.0 ms | 4375.0 samples/s
  step  1500/1558 | loss 0.1322 | data 0.1 ms | step 117.2 ms | 4369.9 samples/s
  step  1550/1558 | loss 0.1286 | data 0.2 ms | step 117.4 ms | 4360.9 samples/s
Train Loss: 0.1281
Epoch 8
  step    50/1558 | loss 0.1216 | data 7.4 ms | step 114.6 ms | 4469.1 samples/s
  step   100/1558 | loss 0.1312 | data 0.1 ms | step 112.1 ms | 4568.8 samples/s
  step   150/1558 | loss 0.1171 | data 0.1 ms | step 110.0 ms | 4655.0 samples/s
  step   200/1558 | loss 0.1250 | data 0.1 ms | step 110.6 ms | 4629.8 samples/s
  step   250/1558 | loss 0.1222 | data 0.1 ms | step 110.5 ms | 4635.4 samples/s
  step   300/1558 | loss 0.1233 | data 0.1 ms | step 110.9 ms | 4615.9 samples/s
  step   350/1558 | loss 0.1260 | data 0.1 ms | step 111.0 ms | 4612.0 samples/s
  step   400/1558 | loss 0.1146 | data 0.1 ms | step 109.9 ms | 4657.0 samples/s
  step   450/1558 | loss 0.1114 | data 0.1 ms | step 110.1 ms | 4651.6 samples/s
  step   500/1558 | loss 0.1193 | data 0.1 ms | step 109.9 ms | 4659.1 samples/s
  step   550/1558 | loss 0.1200 | data 0.1 ms | step 109.9 ms | 4660.5 samples/s
  step   600/1558 | loss 0.1201 | data 0.1 ms | step 111.9 ms | 4576.6 samples/s
  step   650/1558 | loss 0.1157 | data 0.1 ms | step 114.1 ms | 4488.7 samples/s
  step   700/1558 | loss 0.1179 | data 0.1 ms | step 114.0 ms | 4489.6 samples/s
  step   750/1558 | loss 0.1294 | data 0.1 ms | step 114.1 ms | 4486.3 samples/s
  step   800/1558 | loss 0.1143 | data 0.1 ms | step 114.2 ms | 4483.3 samples/s
  step   850/1558 | loss 0.1214 | data 0.1 ms | step 114.3 ms | 4478.2 samples/s
  step   900/1558 | loss 0.1168 | data 0.1 ms | step 114.2 ms | 4485.0 samples/s
  step   950/1558 | loss 0.1285 | data 0.1 ms | step 114.1 ms | 4485.7 samples/s
  step  1000/1558 | loss 0.1223 | data 0.1 ms | step 114.2 ms | 4481.6 samples/s
  step  1050/1558 | loss 0.1183 | data 0.1 ms | step 114.2 ms | 4482.6 samples/s
  step  1100/1558 | loss 0.1322 | data 0.1 ms | step 114.1 ms | 4488.5 samples/s
  step  1150/1558 | loss 0.1188 | data 0.1 ms | step 114.2 ms | 4482.6 samples/s
