Starting DDP Training: World Size 1, Batch Size 256 (Global 256)
Epoch 1
  step   850/1558 | loss 0.0744 | data 0.1 ms | step 139.8 ms | 3662.2 samples/s
  step   900/1558 | loss 0.0835 | data 0.1 ms | step 139.9 ms | 3658.5 samples/s
  step   950/1558 | loss 0.0769 | data 0.1 ms | step 139.8 ms | 3662.9 samples/s
  step  1000/1558 | loss 0.0799 | data 0.1 ms | step 137.3 ms | 3730.4 samples/s
  step  1050/1558 | loss 0.0821 | data 0.1 ms | step 138.3 ms | 3703.0 samples/s
  step  1100/1558 | loss 0.0721 | data 0.1 ms | step 139.6 ms | 3666.9 samples/s
  step  1150/1558 | loss 0.0775 | data 0.1 ms | step 141.4 ms | 3620.5 samples/s
  step  1200/1558 | loss 0.0888 | data 0.1 ms | step 139.4 ms | 3672.0 samples/s
  step  1250/1558 | loss 0.0947 | data 0.1 ms | step 139.7 ms | 3664.6 samples/s
  step  1300/1558 | loss 0.0854 | data 0.1 ms | step 140.0 ms | 3657.7 samples/s
  step  1350/1558 | loss 0.0812 | data 0.1 ms | step 139.8 ms | 3663.1 samples/s
  step  1400/1558 | loss 0.0781 | data 0.1 ms | step 141.8 ms | 3611.7 samples/s
  step  1450/1558 | loss 0.0850 | data 0.1 ms | step 139.6 ms | 3666.6 samples/s
  step  1500/1558 | loss 0.0742 | data 0.1 ms | step 139.2 ms | 3677.7 samples/s
  step  1550/1558 | loss 0.0827 | data 0.2 ms | step 139.8 ms | 3662.8 samples/s
Train Loss: 0.0839
Epoch 6
  step    50/1558 | loss 0.0655 | data 5.7 ms | step 136.4 ms | 3755.0 samples/s
  step   100/1558 | loss 0.0606 | data 0.1 ms | step 136.4 ms | 3753.5 samples/s
  step   150/1558 | loss 0.0726 | data 0.1 ms | step 136.6 ms | 3748.0 samples/s
  step   200/1558 | loss 0.0704 | data 0.1 ms | step 136.3 ms | 3755.5 samples/s
  step   250/1558 | loss 0.0743 | data 0.1 ms | step 136.2 ms | 3758.7 samples/s
  step   300/1558 | loss 0.0785 | data 0.1 ms | step 136.0 ms | 3763.8 samples/s
  step   350/1558 | loss 0.0697 | data 0.1 ms | step 135.9 ms | 3766.4 samples/s
  step   400/1558 | loss 0.0767 | data 0.1 ms | step 136.1 ms | 3762.2 samples/s
  step   450/1558 | loss 0.0762 | data 0.1 ms | step 136.4 ms | 3752.6 samples/s
  step   500/1558 | loss 0.0744 | data 0.1 ms | step 136.2 ms | 3758.7 samples/s
  step   550/1558 | loss 0.0652 | data 0.1 ms | step 136.1 ms | 3763.0 samples/s
  step   600/1558 | loss 0.0643 | data 0.1 ms | step 136.2 ms | 3760.0 samples/s
  step   650/1558 | loss 0.0664 | data 0.1 ms | step 136.2 ms | 3759.7 samples/s
  step   700/1558 | loss 0.0652 | data 0.1 ms | step 136.2 ms | 3759.2 samples/s
  step   750/1558 | loss 0.0693 | data 0.1 ms | step 136.2 ms | 3759.5 samples/s
  step   800/1558 | loss 0.0641 | data 0.1 ms | step 136.0 ms | 3765.9 samples/s
  step   850/1558 | loss 0.0652 | data 0.1 ms | step 136.0 ms | 3765.1 samples/s
  step   900/1558 | loss 0.0696 | data 0.1 ms | step 136.2 ms | 3757.8 samples/s
  step   950/1558 | loss 0.0650 | data 0.1 ms | step 136.3 ms | 3757.3 samples/s
  step  1000/1558 | loss 0.0645 | data 0.1 ms | step 137.1 ms | 3735.1 samples/s
  step  1050/1558 | loss 0.0717 | data 0.1 ms | step 137.6 ms | 3719.6 samples/s
  step  1100/1558 | loss 0.0596 | data 0.1 ms | step 138.3 ms | 3701.8 samples/s
  step  1150/1558 | loss 0.0715 | data 0.1 ms | step 137.3 ms | 3728.4 samples/s
  step  1200/1558 | loss 0.0773 | data 0.1 ms | step 137.1 ms | 3733.5 samples/s
  step  1250/1558 | loss 0.0746 | data 0.1 ms | step 136.8 ms | 3742.9 samples/s
  step  1300/1558 | loss 0.0746 | data 0.1 ms | step 141.4 ms | 3619.9 samples/s
  step  1350/1558 | loss 0.0649 | data 0.1 ms | step 140.7 ms | 3638.8 samples/s
  step  1400/1558 | loss 0.0757 | data 0.1 ms | step 143.4 ms | 3570.7 samples/s
  step  1450/1558 | loss 0.0718 | data 0.1 ms | step 143.4 ms | 3570.5 samples/s
  step  1500/1558 | loss 0.0738 | data 0.1 ms | step 143.5 ms | 3568.5 samples/s
  step  1550/1558 | loss 0.0704 | data 0.2 ms | step 141.9 ms | 3608.7 samples/s
Train Loss: 0.0697
Epoch 7
  step    50/1558 | loss 0.0536 | data 5.7 ms | step 140.7 ms | 3638.7 samples/s
